Restaurant_ID,Google_Maps_URL,Restaurant_Name,Rating,Reviews,Price_Range,Category,Address,Status,Opening_Hours,Popularity
R0016,https://www.google.com/maps/place/Dera+Restaurant/data=!4m7!3m6!1s0x394c71e993946e6b:0x4973871aafc1a9b0!8m2!3d25.4190866!4d68.3763323!16s%2Fg%2F11gv09k0gn!19sChIJa26Uk-lxTDkRsKnBrxqHc0k?authuser=0&hl=en&rclk=1,Dera Restaurant,4.1,591,"Rs 4,000–5,000",Restaurant, C99G+JGP,Closed, Opens 12 AM Mon,Normal
R0017,https://www.google.com/maps/place/Thali+Nation/data=!4m7!3m6!1s0x394c712dafdb49b1:0x10a85a31a2d6e453!8m2!3d25.3643463!4d68.3804032!16s%2Fg%2F11kqhb89vc!19sChIJsUnbry1xTDkRU-TWojFaqBA?authuser=0&hl=en&rclk=1,Thali Nation,4.8,117,"Rs 1–1,000",Pakistani,Boulevard Mall ,Open, Closes 1 AM,Normal
R0018,https://www.google.com/maps/place/The+Forest+Lounge/data=!4m7!3m6!1s0x394c77004577accf:0xf541d281a77edb70!8m2!3d25.4286875!4d68.3396875!16s%2Fg%2F11x8mbhdwb!19sChIJz6x3RQB3TDkRcNt-p4HSQfU?authuser=0&hl=en&rclk=1,The Forest Lounge,4.1,136,"Rs 1,000–5,000",Restaurant,C8HQ+FV9 ,Open, Closes 2 AM,Normal
R0019,https://www.google.com/maps/place/Kabab+Ghar+Garden/data=!4m7!3m6!1s0x394c71002d4a5f29:0x1c91d4c96f50aa0c!8m2!3d25.4115531!4d68.3380515!16s%2Fg%2F11nhf7r3_6!19sChIJKV9KLQBxTDkRDKpQb8nUkRw?authuser=0&hl=en&rclk=1,Kabab Ghar Garden,4.6,35,"Rs 1,000–2,000",Fine Dining,"Main Wadhu Wah Rd, behind Sunny CNG ",Open, Closes 3:30 AM,Normal
R0020,https://www.google.com/maps/place/Burgerizza/data=!4m7!3m6!1s0x394c71be9bddc89f:0x7fc29cb424cafa9!8m2!3d25.3684558!4d68.3557295!16s%2Fg%2F11n3kl7q3x!19sChIJn8jdm75xTDkRqa9MQssp_Ac?authuser=0&hl=en&rclk=1,Burgerizza,4.7,79,,Restaurant,"Shop # 226 Unit No: 06, Unit 6 Latifabad Rd, near jazz point ",Open, Closes 3 AM,Normal
R0021,https://www.google.com/maps/place/Soulful+Bites+Hyderabad/data=!4m7!3m6!1s0x394c71003e95fb2b:0x207006d0a2bb5583!8m2!3d25.3753125!4d68.3486875!16s%2Fg%2F11ysctxnr4!19sChIJK_uVPgBxTDkRg1W7otAGcCA?authuser=0&hl=en&rclk=1,Soulful Bites Hyderabad,4.3,38,"Rs 1,000–2,000",Restaurant, ,Open, Closes 2 AM,Normal
R0022,https://www.google.com/maps/place/Silver+Sands+Restaurant/data=!4m7!3m6!1s0x394c79003827694d:0xb88b0e03609411e8!8m2!3d25.439006!4d68.329577!16s%2Fg%2F11ys2wjjwg!19sChIJTWknOAB5TDkR6BGUYAMOi7g?authuser=0&hl=en&rclk=1,Silver Sands Restaurant,4.6,17,,Restaurant,"C8QH+F9H, Jamshoro Rd ",Open, Closes 3 AM,Normal
R0023,https://www.google.com/maps/place/Al-Rahim+Restaurant+%26+BBQ/data=!4m7!3m6!1s0x394c7061fdf0d861:0x6f949deb33e569f3!8m2!3d25.372535!4d68.352211!16s%2Fg%2F11c17l4wf9!19sChIJYdjw_WFwTDkR82nlM-udlG8?authuser=0&hl=en&rclk=1,Al-Rahim Restaurant & BBQ,4.0,2040,"Rs 1,000–2,000",Pakistani," Plot No. 164, Block D, Unit No. 7",Open, Closes 2 AM,Popular
R0024,https://www.google.com/maps/place/Zesty+lounge/data=!4m7!3m6!1s0x394c719318329827:0x7fd36d826042661e!8m2!3d25.3964921!4d68.3341463!16s%2Fg%2F11t2b6ns6r!19sChIJJ5gyGJNxTDkRHmZCYIJt038?authuser=0&hl=en&rclk=1,Zesty lounge,4.0,80,"Rs 1,000–2,000",Restaurant,"Shop#1, Hayat Residency, Naseem Nagar Rd, opposite Shafay Hospital, near Ali Palace ",Open 24 hours,,Normal
R0025,https://www.google.com/maps/place/PARATHA+%26+KARAK/data=!4m7!3m6!1s0x394c77922df93a5d:0x3708e4479c0ecaf!8m2!3d25.4240481!4d68.3419063!16s%2Fg%2F11mtjxxtw_!19sChIJXTr5LZJ3TDkRr-zAeUSOcAM?authuser=0&hl=en&rclk=1,PARATHA & KARAK,4.0,750,"Rs 1–1,000",Cafe,"C8FR+JQ7, Jamshoro Rd ",Open, Closes 12 AM,Normal
R0026,https://www.google.com/maps/place/Achank+Restaurent/data=!4m7!3m6!1s0x394c7147149f4f09:0x89a34d16deb632a7!8m2!3d25.403678!4d68.3696483!16s%2Fg%2F11n067n_pr!19sChIJCU-fFEdxTDkRpzK23hZNo4k?authuser=0&hl=en&rclk=1,Achank Restaurent,4.5,19,,Restaurant,"C94C+2FG, Allah Wala Chowk ",Open, Closes 10 PM,Normal
R0027,https://www.google.com/maps/place/Kabab+Ghar/data=!4m7!3m6!1s0x394c714acca28873:0xe681adffd7566155!8m2!3d25.3965435!4d68.3397567!16s%2Fg%2F11fnml8zsm!19sChIJc4iizEpxTDkRVWFW1_-tgeY?authuser=0&hl=en&rclk=1,Kabab Ghar,4.2,437,"Rs 1–4,000",Restaurant,"98XV+MWW, Wadhu Wah Rd ",Open, Closes 3:30 AM,Normal
R0028,https://www.google.com/maps/place/Abdullah+Fish+Point+-+A.F.P/data=!4m7!3m6!1s0x394c70eee3676775:0xa11ff9af3c021829!8m2!3d25.3897204!4d68.3663883!16s%2Fg%2F11xh7lqjg!19sChIJdWdn4-5wTDkRKRgCPK_5H6E?authuser=0&hl=en&rclk=1,Abdullah Fish Point - A.F.P,4.2,397,"Rs 1–1,000",Restaurant,"99Q8+VHJ, Risala Rd ",Open, Closes 1:30 AM,Normal
R0029,https://www.google.com/maps/place/KFC+%7C+Hyderabad-+Qasim+Chowk/data=!4m7!3m6!1s0x394c71caeb446263:0x29e9428caba411a8!8m2!3d25.4101211!4d68.3550896!16s%2Fg%2F11h0mj9swg!19sChIJY2JE68pxTDkRqBGkq4xC6Sk?authuser=0&hl=en&rclk=1,KFC | Hyderabad- Qasim Chowk,4.2,4195,"Rs 1,000–2,000",Fast Food," C954+893, Jamshoro Rd",Open, Closes 3 AM,Popular
